Ano,Município,Grau Instrução,Salário,SaldoMov
2007,330455,07,11853278,46634
2007,330455,08,1056911,5432
2007,330455,09,5881601,10920
2007,330490,01,-5646,-8
2007,330490,02,-45956,-22
2007,330490,03,-302788,-311
2007,330490,04,-112466,-16
2007,330490,05,1445,276
2007,330490,06,127932,431
2007,330490,07,683784,2800
2007,330490,08,22982,113
2007,330490,09,-41043,289
2007,330500,01,-27379,-23
2007,330500,02,-37850,10
2007,330500,03,-598,-9
2007,330500,04,37747,61
2007,330500,05,14435,52
2007,330500,06,32749,53
2007,330500,07,6447,10
2007,330500,08,7417,13
2007,330500,09,-11831,-3
2007,330510,01,2801,8
2007,330510,02,12545,31
2007,330510,03,-32811,-23
2007,330510,04,-128868,-104
2007,330510,05,-62970,343
2007,330510,06,6992,147
2007,330510,07,377345,1264
2007,330510,08,-19733,29
2007,330510,09,81060,134
2007,330580,01,-6475,-13
2007,330580,02,223571,45
2007,330580,03,472927,83
2007,330580,04,1081528,-68
2007,330580,05,110341,344
2007,330580,06,172682,355
2007,330580,07,414783,1036
2007,330580,08,-258,49
2007,330580,09,-68897,86
2007,330630,01,-451,6
2007,330630,02,-840,83
2007,330630,03,-62083,-12
2007,330630,04,-224687,109
2007,330630,05,-819343,-66
2007,330630,06,-104037,367
2007,330630,07,-254531,1719
2007,330630,08,-28160,157
2007,330630,09,-440405,134
2007,350160,01,2080,4
2007,350160,02,-17855,-13
2007,350160,03,-276107,-246
2007,350160,04,-170655,-48
2007,350160,05,-199853,208
2007,350160,06,-211023,63
2007,350160,07,1572093,3066
2007,350160,08,75162,183
2007,350160,09,-502390,237
2007,350280,01,-855,6
2007,350280,02,-64245,10
2007,350280,03,-82444,-81
2007,350280,04,-102592,-62
2007,350280,05,-93984,137
2007,350280,06,11241,85
2007,350280,07,437164,1072
2007,350280,08,45370,102
2007,350280,09,-52423,164
2007,350320,01,13626,54
2007,350320,02,-6089,151
2007,350320,03,-56066,-21
2007,350320,04,45880,379
2007,350320,05,709812,1446
2007,350320,06,-73870,226
2007,350320,07,1096639,2857
2007,350320,08,-12560,156
2007,350320,09,-57429,215
2007,350330,01,11434,29
2007,350330,02,-7064,74
2007,350330,03,-6113,130
2007,350330,04,134806,255
2007,350330,05,48522,168
2007,350330,06,109587,193
2007,350330,07,847679,1475
2007,350330,08,17767,53
2007,350330,09,165236,180
2007,350410,01,-1965,-6
2007,350410,02,76325,231
2007,350410,03,-58140,-149
2007,350410,04,-25236,32
2007,350410,05,117165,297
2007,350410,06,-5775,68
2007,350410,07,548288,1084
2007,350410,08,96353,89
2007,350410,09,183645,171
2007,350570,01,35902,-10
2007,350570,02,-752274,-845
2007,350570,03,-405503,-457
2007,350570,04,-111893,230
2007,350570,05,165799,889
2007,350570,06,549883,1299
2007,350570,07,4784004,9674
2007,350570,08,846903,1763
2007,350570,09,915980,4490
2007,350600,01,2517,1
2007,350600,02,-9251,12
2007,350600,03,-529296,-807
2007,350600,04,6011,151
2007,350600,05,466022,1083
2007,350600,06,-61077,322
2007,350600,07,2303620,4432
2007,350600,08,98851,268
2007,350600,09,-207828,244
2007,350760,01,7743,14
2007,350760,02,-30005,-43
2007,350760,03,-45304,-40
2007,350760,04,6948,28
2007,350760,05,61330,212
2007,350760,06,57196,119
2007,350760,07,796651,1343
2007,350760,08,18833,48
2007,350760,09,-178101,3
2007,350920,01,4097,10
