Ano,Município,Raça Cor,Salário,SaldoMov
2007,350950,02,34301,10381
2007,350950,04,390323,1096
2007,350950,06,-66599,23
2007,350950,08,2415610,4906
2007,350950,09,331120,751
2007,350950,{ñ,23851,78
2007,351060,01,10745,11
2007,351060,02,468749,1451
2007,351060,04,93240,242
2007,351060,06,-6685,-1
2007,351060,08,476613,972
2007,351060,09,165088,296
2007,351060,{ñ,575,1
2007,351300,01,55097,60
2007,351300,02,482256,2318
2007,351300,04,314915,439
2007,351300,06,38991,15
2007,351300,08,948041,1615
2007,351300,09,532658,509
2007,351300,{ñ,-13519,-11
2007,351350,01,833,7
2007,351350,02,-1533227,-283
2007,351350,04,-25259,90
2007,351350,06,2681,34
2007,351350,08,149378,776
2007,351350,09,266719,385
2007,351350,{ñ,31812,28
2007,351380,01,23404,46
2007,351380,02,-870615,2113
2007,351380,04,165832,374
2007,351380,06,-7805,12
2007,351380,08,933492,2279
2007,351380,09,576589,711
2007,351380,{ñ,55656,50
2007,351500,01,-10990,-15
2007,351500,02,810236,1953
2007,351500,04,240787,389
2007,351500,06,39652,32
2007,351500,08,1066533,1684
2007,351500,09,67055,62
2007,351500,{ñ,625,1
2007,351620,01,8629,33
2007,351620,02,-1369695,808
2007,351620,04,79791,245
2007,351620,06,-5498,16
2007,351620,08,370134,822
2007,351620,09,-271304,-240
2007,351620,{ñ,12043,16
2007,351840,01,5806,9
2007,351840,02,-400278,747
2007,351840,04,-100458,-59
2007,351840,06,-8563,-10
2007,351840,08,-326059,-39
2007,351840,09,-5960,-10
2007,351840,{ñ,2134,4
2007,351870,01,1724,8
2007,351870,02,-157117,618
2007,351870,04,32176,149
2007,351870,06,-10254,-4
2007,351870,08,314321,871
2007,351870,09,152036,120
2007,351870,{ñ,-2185,-5
2007,351880,01,-584431,-129
2007,351880,02,-870726,7799
2007,351880,04,229590,835
2007,351880,06,-161147,116
2007,351880,08,2150744,5928
2007,351880,09,1578784,1612
2007,351880,{ñ,14132,-11
2007,351907,01,-15593,-12
2007,351907,02,1841903,1584
2007,351907,04,203546,203
2007,351907,06,63558,12
2007,351907,08,420803,555
2007,351907,09,-20514,13
2007,351907,{ñ,4669,6
2007,352050,01,12278,13
2007,352050,02,1383471,2179
2007,352050,04,120194,230
